country,year,value
China,2024,0.218128938439177
China,2023,0.23483682889305
China,2022,1.9735755573905
China,2021,0.981015135544881
China,2020,2.41942189457782
China,2019,2.89923416358226
China,2018,2.07479039965576
China,2017,1.59313600071435
China,2016,2.00000182191943
China,2015,1.43702380935654
China,2014,1.9216416278852
China,2013,2.62105001748114
China,2012,2.6195243264554
China,2011,5.55389892257493
China,2010,3.17532475269199
China,2009,-0.728165250932898
China,2008,5.92525137041091
China,2007,4.81676767378834
China,2006,1.64943099455859
China,2005,1.7764140766757
China,2004,3.82463743108159
China,2003,1.12760348729637
China,2002,-0.731970902350243
China,2001,0.719125609120113
China,2000,0.347811226864586
United States,2024,2.94952520485207
United States,2023,4.11633838374488
United States,2022,8.00279982052121
United States,2021,4.69785886363742
United States,2020,1.23358439630629
United States,2019,1.81221007526021
United States,2018,2.44258329692817
United States,2017,2.13011000365961
United States,2016,1.26158320570536
United States,2015,0.118627135552451
United States,2014,1.62222297740817
United States,2013,1.46483265562717
United States,2012,2.06933726526067
United States,2011,3.156841568622
United States,2010,1.6400434423899
United States,2009,-0.355546266299747
United States,2008,3.839100296651
United States,2007,2.85267248150138
United States,2006,3.22594410070404
United States,2005,3.3927468454955
United States,2004,2.67723669309172
United States,2003,2.27009497336115
United States,2002,1.58603162650601
United States,2001,2.82617111885407
United States,2000,3.37685727149929
