Date,Signal
2017-01-05,Exit
2017-01-09,Exit
2017-01-11,Exit
2017-01-12,Exit
2017-01-13,Exit
2017-01-17,Exit
2017-01-19,Exit
2017-01-24,Exit
2017-01-25,Exit
2017-01-30,Exit
2017-01-31,Exit
2017-02-02,Exit
2017-02-03,Exit
2017-02-06,Short Entry
2017-02-21,Short Entry
2017-03-01,Short Entry
2017-03-13,Short Entry
2017-03-16,Short Entry
2017-03-27,Short Entry
2017-04-05,Exit
2017-04-12,Long Entry
2017-04-20,Exit
2017-04-26,Short Entry
2017-05-01,Short Entry
2017-05-16,Exit
2017-05-17,Long Entry
2017-05-31,Long Entry
2017-06-02,Exit
2017-06-06,Exit
2017-06-07,Exit
2017-06-15,Exit
2017-06-28,Exit
2017-07-11,Exit
2017-08-09,Long Entry
2017-09-27,Exit
2017-09-28,Exit
2017-10-02,Exit
2017-10-04,Exit
2017-10-13,Exit
2017-10-23,Exit
2017-10-24,Exit
2017-10-27,Short Entry
2017-11-14,Exit
2017-11-22,Exit
2017-12-01,Short Entry
2017-12-05,Short Entry
2017-12-12,Short Entry
2017-12-18,Short Entry
2017-12-20,Short Entry
2017-12-27,Short Entry
