title,description,full_text,url,source_name,source_url,image_url,published_date,search_query,firm_name,keyword_used,collection_date
"Meat snacks have emerged as the clear winner in America’s seismic GLP-1 consumption shift, while popcorn is down - Fortune","Meat snacks have emerged as the clear winner in America’s seismic GLP-1 consumption shift, while popcorn is down  Fortune","Meat snacks have emerged as the clear winner in America’s seismic GLP-1 consumption shift, while popcorn is down  Fortune",https://news.google.com/rss/articles/CBMi3wFBVV95cUxORngtdnpsTTR3N3lTbkhpRzA0MEF5OEFFd09fRm9oSWVYNERtWnQzdzdZY1hqdWVhdGlQbnlnMjdRYVgxMUlvM21jU2F4dU9UZFRKdGtYdUV2N0d3dXVJMVZjZ29wc09Vekt3V1p5OE82ak1jNzFuYWhUWmh5UzltZzMwZU1vNFZOVUlyNVZLalV3SDZrUjJ3Q0tXbFhFOGc2cXZJTW1tX0pzM2psNzhLWXRqdlJxWmdPNXR0VWJDMndlamJLMmxxeWlGbk42RkNzaXpVYmJRVkQ3azJweHFr?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 20:28:17.750900,"""Chomps"" ""GLP-1""",Chomps,GLP-1,2026-04-09 20:28:17.750904
Insurgent Q&A: Chomps Cofounder Rashid Ali - Bain & Company,Insurgent Q&A: Chomps Cofounder Rashid Ali  Bain & Company,Insurgent Q&A: Chomps Cofounder Rashid Ali  Bain & Company,https://news.google.com/rss/articles/CBMie0FVX3lxTE5yeFk3eEJ6UEI4bXRQV2h5bWVtSURiaUZ4MXJNNVJsWGZuTVNaZ1o3Nm1wZjFXdTh6a0tYV0p5QmZTSEh4Um8zZ3ViYTN3WHdsS2xCbk5Ubl9aNklqdDd2enpPMjFsUHgxbnp3YmxXNjFHMU02S21OZ0tjRQ?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 20:28:17.750918,"""Chomps"" ""GLP-1""",Chomps,GLP-1,2026-04-09 20:28:17.750919
Two Million Meat Sticks a Day Isn’t Enough for Chomps’ CEO - Bloomberg.com,Two Million Meat Sticks a Day Isn’t Enough for Chomps’ CEO  Bloomberg.com,Two Million Meat Sticks a Day Isn’t Enough for Chomps’ CEO  Bloomberg.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxQeGFKSUFFV3VzNGZCV1puRC16UFQydnAwdC1oUk1JVTM5Ti0wR1BVR2FybG5aazZUU2k5Q3ZoSFBkU2JvSUlSSEVQbzlGSjlOWnFtSVBvU1RWTUVSYlFZLUN0SkluOUJiZWk5eHpYWTdtTVdMbF9RUV9Fa1dYeFBmOGFfMC0zanpVZHBrdzlvcWFVWUdFN25hTUxoYVRNeF9N?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 20:28:17.750925,"""Chomps"" ""GLP-1""",Chomps,GLP-1,2026-04-09 20:28:17.750926
"3 Food Recalls Issued for Metal and Wood Contamination: Lean Cuisine, Chomps, Aldi Cheese - Verywell Health","3 Food Recalls Issued for Metal and Wood Contamination: Lean Cuisine, Chomps, Aldi Cheese  Verywell Health","3 Food Recalls Issued for Metal and Wood Contamination: Lean Cuisine, Chomps, Aldi Cheese  Verywell Health",https://news.google.com/rss/articles/CBMigwFBVV95cUxQWWxqc2tDcnZjaFlnVDN3UUh6MVZfX1pXMjRURHJOeUxvbFcwZW5qN2I1dTNFRHJoelV1dVV6VnlrS0NBd2dJdERzYkNOSURPa0NKMm9KelJUaFVwaDNDOVVqTFNKU2tndjc5Qk1zYlNrSlZuRTNCaDk5TG4zTW1kN3I3NA?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 20:28:17.750931,"""Chomps"" ""GLP-1""",Chomps,GLP-1,2026-04-09 20:28:17.750931
Study Reveals the Protein Snack Phenomenon is Racing Through the $126B Snacking Market – and Consumers Want More - Perishable News,Study Reveals the Protein Snack Phenomenon is Racing Through the $126B Snacking Market – and Consumers Want More  Perishable News,Study Reveals the Protein Snack Phenomenon is Racing Through the $126B Snacking Market – and Consumers Want More  Perishable News,https://news.google.com/rss/articles/CBMi4wFBVV95cUxQd3QydHZ4aFVMNEl0TUFPYW9jX1JISElndHEtNmFsN0daQ1RpZ0xMbkMtZVMtRndDWUlzWkhJNnBSU2wyN24yc2VCajBtU2lpYi1TMUxEeThWMm9jREJiYTNwZXRzODc4RnBVaVRuSm9hMV9yMGlEZWVsWm9NeTVOaDhCNFJ4LUtKOXp1TFh0YTJqZXdhSFVmdzR5WUVpeGNEaXpyb1lYcGFPaXVQQ0lqTFZWeXFpNXFhRU1ZejdFZ2pMU3gxYjAyUWdCd1A2UHVnRnRpWnNjVks1WWhPV3hBM0F5aw?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 20:28:17.750935,"""Chomps"" ""GLP-1""",Chomps,GLP-1,2026-04-09 20:28:17.750936
Chomps study looks at changing protein snack trends - MEAT+POULTRY,Chomps study looks at changing protein snack trends  MEAT+POULTRY,Chomps study looks at changing protein snack trends  MEAT+POULTRY,https://news.google.com/rss/articles/CBMimgFBVV95cUxOeVVudDVOc0RqZU5qSlVNVTR0bVkxNUxDSDB2d0RFWXEzMG90V2VveENwNzdWcGRsMnRoVmp5RE4wS29LN242RUdjTnFpYjNJbko0bVVfT0ZNY2x6SnJ3bU5VS3FnQ0JLZVJHWEV1N19Ua3JTdTkxWDZvek0zZTlPMXhVaTJRSzVCV09idGhQRlVCQ1hyMEd3cGZ3?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 20:28:17.750941,"""Chomps"" ""GLP-1""",Chomps,GLP-1,2026-04-09 20:28:17.750941
Meat snack innovation: Brands grow with sustainability and allergen-free claims - FoodNavigator-USA.com,Meat snack innovation: Brands grow with sustainability and allergen-free claims  FoodNavigator-USA.com,Meat snack innovation: Brands grow with sustainability and allergen-free claims  FoodNavigator-USA.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxQcnhMaUR4eFplT0ZXUnM3VWVnN3h5RldiUHNvRTVTUnh2MUJjR2h5QXE1dkdHYzhTSDFtWF96QjRnMzdXYkNGNzM5OGdSbjUtQXN5bDdQdk9ra2thVkxkUWloSUh3Ynd1UmNHVFlSSEhXcHIwUjRBR2ZPbkJiVmhKaE5yWmxMbzdYODR6Wjl5bG51V2ZTcmFyOVlocnIwcmhs?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 20:28:17.750945,"""Chomps"" ""GLP-1""",Chomps,GLP-1,2026-04-09 20:28:17.750945
"At Expo West, protein-packed snacks continue to dominate - Modern Retail","At Expo West, protein-packed snacks continue to dominate  Modern Retail","At Expo West, protein-packed snacks continue to dominate  Modern Retail",https://news.google.com/rss/articles/CBMimwFBVV95cUxOVzZoNE1TWWttTGhrNEFrVTJRV0x6NnhEVjk5WTY5TWkwWXM1ZXNyejFSdUMzaVhCV2RpVHNjTWJNTjF1clZRekgxSXVvQ044UDVaZU50X1JPMjlBQnVBQlotbHBYbW5fM3VETEppNkVybkxTYUZiU2JqUTBpLVNha2dsTHF3NUlOZGRfRzk2bzdLdFRxZW16Vm9DSQ?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 20:28:17.750948,"""Chomps"" ""GLP-1""",Chomps,GLP-1,2026-04-09 20:28:17.750949
Protein Snack Growth Outpaces Overall Snacking Category - Convenience Store News,Protein Snack Growth Outpaces Overall Snacking Category  Convenience Store News,Protein Snack Growth Outpaces Overall Snacking Category  Convenience Store News,https://news.google.com/rss/articles/CBMif0FVX3lxTE00R2pxZjFULU9FZFpjQ3ltY0pnQTd5ajk3T0VtTWZNUGlOT0k3T21qTHo0MHZNUVRaMGZxRmo4NFR3U1lLclQ2dDFNX3kwUVRZckQzX0xoS0pGVDBkRzBKc0ZxUGV5LVhHUkFoNHF2SjRWUXktVHNOMkVGcmxrbnM?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 20:28:17.750952,"""Chomps"" ""GLP-1""",Chomps,GLP-1,2026-04-09 20:28:17.750953
Household food giants' shocking plot that is hiking grocery prices - Daily Mail,Household food giants' shocking plot that is hiking grocery prices  Daily Mail,Household food giants' shocking plot that is hiking grocery prices  Daily Mail,https://news.google.com/rss/articles/CBMimwFBVV95cUxOV0FaTE8zY3g2Zmt0YjhIS2k5MTdqUnNmaEtRTEp4VGVrZE5kenVtOWdicmFlTWJTVVdMWkxFTjFfcVdmYXlOcC02ZHJSUlA0cUt6SmhpUGJ5empfQndNQVpDRDA4M0oyYkJyVEhzQlZKV3o1N2FDdGVUMF9OckJwQmRDb0Q0OUdETkN2aGFUZVA1eXVGY1FLYmNEQQ?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 20:28:19.511162,"""Chomps"" ""Ozempic""",Chomps,Ozempic,2026-04-09 20:28:19.511164
