title,description,full_text,url,source_name,source_url,image_url,published_date,search_query,firm_name,keyword_used,collection_date
Mars CEO joins board of Ozempic-maker Novo Nordisk - The Irish Independent,Mars CEO joins board of Ozempic-maker Novo Nordisk  The Irish Independent,Mars CEO joins board of Ozempic-maker Novo Nordisk  The Irish Independent,https://news.google.com/rss/articles/CBMirgFBVV95cUxPdkhzdWw4YkgwRThFeEp4dVBUMkRSSjdyMTRvRVR4TnBaSlJXNVVGT3p2ZXF4aklKb0g2NUUzLU9KMlV3b0sxbzJkRXlMWGR0Vm1IRWF1Z3ZsTFY1eG1UaWcyVUVhR2l1ZzZqVnpTSFVQVHRuOG5uc1Q0a1VCMC1ZX3kzQlJ1MXk2V3FOS3IyYzFIbVlnVjZPM3JiM0xhNkxPM1BUdjBiYkZxNUdEaFE?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:23:46.482814,"""Mars"" ""Ozempic""",Mars,Ozempic,2026-04-09 16:23:46.482815
The Mars-Kellanova merger bolsters them against 2 big threats—inflation and Ozempic - Fortune,The Mars-Kellanova merger bolsters them against 2 big threats—inflation and Ozempic  Fortune,The Mars-Kellanova merger bolsters them against 2 big threats—inflation and Ozempic  Fortune,https://news.google.com/rss/articles/CBMilwFBVV95cUxQbldCUkU4MEU1NmRBWWNDZTNtWW5WRjNJN0cxUk5ocGhqX3BDbzg4djRxb0J3MTl5cmFVbXFvSlhYQXZVdEVCV1NCaEYwT2pndGgwREZXS09VRk5kWnFZZUtCNi0wcmZkTkhMNV91Q1NGUWlkU2dwT2JhQ1d1cHZXUnZGVU9uemdnVHlKY1VlVGFnX0VIeEFv?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:23:46.482818,"""Mars"" ""Ozempic""",Mars,Ozempic,2026-04-09 16:23:46.482819
Mars CEO gets board role at GLP-1 supplier Novo Nordisk - Global Food Industry News,Mars CEO gets board role at GLP-1 supplier Novo Nordisk  Global Food Industry News,Mars CEO gets board role at GLP-1 supplier Novo Nordisk  Global Food Industry News,https://news.google.com/rss/articles/CBMikAFBVV95cUxNM2dqa01sZjNVSlJkQUdwck1QYURJeV80ZThfejd5QUdWU3ZtRk5WVEtkMkZhcEpNNWdZUUU2MzlTZEZFU1MxbWhDNU54SkMyb3FJRjVVTFJCREJIRkdNUFFYLTktaTBKWmp0amF4SDhmYU9lSkdFeWF5OTFVR19MSWNZbG0yUG13S0kwaXlPZ3I?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:23:46.482845,"""Mars"" ""Ozempic""",Mars,Ozempic,2026-04-09 16:23:46.482845
Wegovy maker Novo sharpens consumer focus with board role for Mars CEO - Reuters,Wegovy maker Novo sharpens consumer focus with board role for Mars CEO  Reuters,Wegovy maker Novo sharpens consumer focus with board role for Mars CEO  Reuters,https://news.google.com/rss/articles/CBMivgFBVV95cUxPWXU4TkZ4dUxlU2pmcmRhUUxUWmNvRUNjQ2t3LWhlNlVKWG52d1V4QjlKMjZlek1nYzFMbTNwVVV0X3NzLVZnR21wZjk1c190NHExek1Gem4wTFg2R2tpdGlvRUh2NEQ1X1NzWGw0UDhsbklGQUlQZTB0NnJ3bGVuR3hTNnhWUF9DX0hfd0ppUjZKdVFSODJIT1YyMmtaNEtjbmJfaWNKbEdjemFRM3B5c0NORUdrLS1pUG8yaXVn?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:23:51.108306,"""Mars"" ""Wegovy""",Mars,Wegovy,2026-04-09 16:23:51.108310
Wegovy maker Novo sharpens consumer focus with board role for Mars CEO By Reuters - Investing.com,Wegovy maker Novo sharpens consumer focus with board role for Mars CEO By Reuters  Investing.com,Wegovy maker Novo sharpens consumer focus with board role for Mars CEO By Reuters  Investing.com,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNeDlFa042N20xTU9Rc3VMY0plLVBPcmN3SFNyMWUyYXBQVFI2LTJyazRPRlhYeDYzUUJLV2VlcEZsSWtHWS1VbXNGN0lzZU9mYTlNWnFnMHpDNlVFdjVGaHBoQXBvSnB3Tm05cnZfdGg4eG1FNGVBalRQMlZ1SUtMTlBwUElROEZLaUJyT2MwLXNkbEZzSE9NUERYaWNiVHByelhxOVZIYnE?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:23:51.108323,"""Mars"" ""Wegovy""",Mars,Wegovy,2026-04-09 16:23:51.108324
Wegovy maker Novo sharpens consumer focus with board role for Mars CEO - TradingView,Wegovy maker Novo sharpens consumer focus with board role for Mars CEO  TradingView,Wegovy maker Novo sharpens consumer focus with board role for Mars CEO  TradingView,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOLVU5OWRzdVlPTl9xQ2pwZ3daTzBxTVh3SjJPU2lNMWNodTJoM3pVTjZZNGlmU25Nem80YUp6RzQ1WkQtb01FZzMweGZhMVVHaXlMeHJNOE1pOUVrMzBma1h5eDMyWHg1VlhLYzdmcTU0dGJORjZKQ3lpZnZUZ01iOW5nU01Gd19qY01JVUhDNE5IcGZiMG5HOTBEUmwwSHJSVU1vVHlNRFdRNHFBbkJvNUN4d1A2VFV0WVlnQU9DdWo3VzhmRWxtbzBMUDd0akYtOS1UbDZRRQ?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:23:51.108332,"""Mars"" ""Wegovy""",Mars,Wegovy,2026-04-09 16:23:51.108333
Novo's Mars Board Observer: A Branding Gambit as Stock Hits 52-Week Lows Amid Pricing War with Compounded GLP-1s - Bitget,Novo's Mars Board Observer: A Branding Gambit as Stock Hits 52-Week Lows Amid Pricing War with Compounded GLP-1s  Bitget,Novo's Mars Board Observer: A Branding Gambit as Stock Hits 52-Week Lows Amid Pricing War with Compounded GLP-1s  Bitget,https://news.google.com/rss/articles/CBMiXkFVX3lxTE9kd3JRY3c2NHRTQmhFTU5fd2w1ZTZMYmM1RHgtUGdBWnBpSmVQMmtKOTNlWF9PdEVIS2hrNWRjeldKX29fczVJakxPeXJFNllQOFNScFB1ZDZCSkdZRGfSAWNBVV95cUxPWjB3SmVIcTVseTdyRUtfNmEtTVJuZ3RodzYzcWxyVjFYbTF1a2ZOTUo1V2Vfek5rSHVFX3FxMXhxT1VfVVVwcU9zS3AyNGdyYURpUms3SnV5M1pIRE1sMlVFUHM?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:24:11.350192,"""Mars"" ""weight loss drugs""",Mars,weight loss drugs,2026-04-09 16:24:11.350193
Wegovy maker Novo sharpens consumer focus with board role for Mars CEO - WSAU,Wegovy maker Novo sharpens consumer focus with board role for Mars CEO  WSAU,Wegovy maker Novo sharpens consumer focus with board role for Mars CEO  WSAU,https://news.google.com/rss/articles/CBMigwFBVV95cUxOaGZYSzJXUkx2MHBmSFdNUG9UNGFwTDRvbi04czBNcl96NGRzcXdyeEl1NkRXVkhuXzVwcFdkSVlJOFpRVzE3ckdUczNWQjVfb0J3WFlKU1ZIUXJSS0pPeXpkV1FWZWx0eHRFUzV0cDY1WV9ZTTMtUVpzNmJ0ajFFeG83VQ?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:24:16.443067,"""Mars"" ""obesity drugs""",Mars,obesity drugs,2026-04-09 16:24:16.443069
Mars CEO gets board role at GLP-1 supplier Novo Nordisk - Yahoo Finance,Mars CEO gets board role at GLP-1 supplier Novo Nordisk  Yahoo Finance,Mars CEO gets board role at GLP-1 supplier Novo Nordisk  Yahoo Finance,https://news.google.com/rss/articles/CBMimAFBVV95cUxOeUNZbFVMQmhrb09EV284NURRaTZNd3hzOENtZEx6bHNqY29HV2VvWVl2R3ZIMTBycnNyVHNiay1sYzNUNVRIRDV6aXcwcFVYRi1oVTE4RGtHRnA3eTdvSzdfdGhyX2UtVm9jeGQ0VnVqVDk0dFpnYzNXeUZwQ0x4SFVhUkxnV0pvb3JGZUJMUkVfaWcyNXA2cg?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:24:32.974831,"""Mars"" ""weight loss""",Mars,weight loss,2026-04-09 16:24:32.974832
Mars CEO gets board role at GLP-1 supplier Novo Nordisk - Yahoo Finance,Mars CEO gets board role at GLP-1 supplier Novo Nordisk  Yahoo Finance,Mars CEO gets board role at GLP-1 supplier Novo Nordisk  Yahoo Finance,https://news.google.com/rss/articles/CBMimAFBVV95cUxPZU5qSjhBQ0plVm1oT1VnS05FazA2aVFwcG5hNkljUnJpY21mdzdLNGhRc0xTeGtuV0ZKVEZRYmdzTktuQUdXU1BZZ0FvYXlvaE5NMTl0VTd6dXFuUmdfZzFSd0J1RjlDSEdSZXV6cWwxeDh2R1p4SjJ3a1pNNnVhNE8zLXY5TjNhb3RpYTRqRUZGTDVLWHA5Ug?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:24:41.254075,"""Mars"" ""GLP-1""",Mars,GLP-1,2026-04-09 16:24:41.254082
