title,description,full_text,url,source_name,source_url,image_url,published_date,search_query,firm_name,keyword_used,collection_date
Nestle to launch food products that cater to Wegovy and Ozempic users - CBS News,Nestle to launch food products that cater to Wegovy and Ozempic users  CBS News,Nestle to launch food products that cater to Wegovy and Ozempic users  CBS News,https://news.google.com/rss/articles/CBMid0FVX3lxTFBZSEpGU0ZnR0lBQlNfb19ta3dRWEZFd1NTMy11a2JUTG5YWVdSOVprUHYyS3c0VU5Ma1BFeWxfQllJYldwXzZ3WVlCUUdKMzZDT3VlTW5jSzJPUzVoYVJHQWFLMkZuZUQ4eUs4TnBsXzNsaFhYQWRZ0gF8QVVfeXFMTXY3VThaT0h0X1BaYkFFYXhaMGV1dGgteERKaElmSDFaSjRvZFJvb0cxWEZ6RV8wV0dQam1COEhHcEJLZy12Z1dTWUt5WUR4RHlqQ0gwV0hDOWVJWEVLR1A4NDhFR1lJLS11TTRnTDByS2tRZUh4anRtMXJSUg?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:22:09.597922,"""Nestle"" ""Ozempic""",Nestle,Ozempic,2026-04-09 16:22:09.597922
"Nestle set to sell $5 pizza, sandwiches for Wegovy, Ozempic users - Reuters","Nestle set to sell $5 pizza, sandwiches for Wegovy, Ozempic users  Reuters","Nestle set to sell $5 pizza, sandwiches for Wegovy, Ozempic users  Reuters",https://news.google.com/rss/articles/CBMixgFBVV95cUxNZllTUDFHUWNwcnBqWHdoTURNTUpzSE84QTVILThEaGxpVE1DRnAyMHpmbGtDNGRuZGU2MGQ5MWpfVHVNT2hmSVBVRngxZ2hVN2tKN2M2dDJfbmdpbE9pc2VEQTRXN1ZMdTZKeXJSbU9NWjFDT25UbXRLdzdIbF9jbUxVTEFObHNLdVJ6bm5fTkQzYmZ0WW9xRFczeTBUUDYzYVBhV3ZOZldjbG9KWlFvRkhGX1VBUDR4d3B2SDFiVFJjNlJTd1E?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:22:09.597926,"""Nestle"" ""Ozempic""",Nestle,Ozempic,2026-04-09 16:22:09.597926
Danone and Nestle search for a way around Ozempic Revolution with high protein yogurt and vitamins against hair-loss - Fortune,Danone and Nestle search for a way around Ozempic Revolution with high protein yogurt and vitamins against hair-loss  Fortune,Danone and Nestle search for a way around Ozempic Revolution with high protein yogurt and vitamins against hair-loss  Fortune,https://news.google.com/rss/articles/CBMirwFBVV95cUxOcnJoUlJQb2VZTjY3NldhYW5HVXFoWlEtY1BDX2JYQzNCZDRxVjFkTWRmc0ZVdC1MOEZ6UUNCWjFwQ2FUaURPS1JnQWw2M29LRmd0R2NnQkZ1dVRCTGZqa3c4NEJmZkdBeEd2c2lhR2tPY0Z3VkF4MWxFQVFJX1JVMVd1Y09TdlUwQWhaMjZra3N0Q2pCLVRfek0zRUZJT01jSHp6Z01UUWYxRGFaZUVV?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:22:09.597932,"""Nestle"" ""Ozempic""",Nestle,Ozempic,2026-04-09 16:22:09.597932
Nestle and Coke make ‘new associations’ for consumers using Wegovy and Ozempic - Fast Company,Nestle and Coke make ‘new associations’ for consumers using Wegovy and Ozempic  Fast Company,Nestle and Coke make ‘new associations’ for consumers using Wegovy and Ozempic  Fast Company,https://news.google.com/rss/articles/CBMicEFVX3lxTE5zV0d4X1lGMzA3SlB2WXpIRjlTMmw4OFE4Skp5N3lDcVVBR0s1bzJqZGV3YXpjRzV4VFpwTXEwa3VFalRuVW9kdlNHOGVRdTF6RHNFTnBsNlZobW9HYUROdGFSTG8xZDFqZlFiUG5pNzY?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:22:09.597938,"""Nestle"" ""Ozempic""",Nestle,Ozempic,2026-04-09 16:22:09.597939
Nestle to launch Vital Pursuit frozen-food brand targeting GLP-1 users - CNBC,Nestle to launch Vital Pursuit frozen-food brand targeting GLP-1 users  CNBC,Nestle to launch Vital Pursuit frozen-food brand targeting GLP-1 users  CNBC,https://news.google.com/rss/articles/CBMimwFBVV95cUxQMlRPWHpYbjd6QWtMUVAtbC0taXQ0UlFfMENxVTJibGxPQ1BCQ1J5RUprOE5YN1EzZXhqVHVfQml2cnRUd2k1dlZYOHNmSE5Eek5lOG41X1dPdFYzaldnRFBxbC0yZVFhb0h6YVFJdTN4Z3RFSGZnYW5TV25rc0d3T1UwOXY1eDRESHZnMjI3cmh5NHdGS0tFa0VwVdIBoAFBVV95cUxQbkc1bFhoNmJvSVV4N2JiZk4xOGVCbk1GNDBTTTZ6QUdMS3QxVE4zeVZOMEY1LTEzS2JLdGFvUnFpV25kb1NWNnpmaDBvWFJhREdVV1Z6eWwtRm1KS1gwUjdmQTVrdlJmcjBHMnNmN0JfUlpQQ1A2VFhldmFCeUhOVVlrSUloX2d5QU1wRHAxREtsLURLUTFxMi13eFNKbk90?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:22:09.597945,"""Nestle"" ""Ozempic""",Nestle,Ozempic,2026-04-09 16:22:09.597945
Nestle is launching a food brand designed for Ozempic and Wegovy users - qz.com,Nestle is launching a food brand designed for Ozempic and Wegovy users  qz.com,Nestle is launching a food brand designed for Ozempic and Wegovy users  qz.com,https://news.google.com/rss/articles/CBMibkFVX3lxTFBLRzVMZVVEdjdtcG92VUVLWUdZMFZnMmxDa01pdUZiZUNWNnpRdW1oNE5DUmRWTDdsX0VfOF9xOG53QndkWEZSWVNiVkIzekRpM01hRzhKOTRUTmtLbmRVdF9teWVKUlRMbUo3ZnpR?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:22:09.597948,"""Nestle"" ""Ozempic""",Nestle,Ozempic,2026-04-09 16:22:09.597949
Nestle launches a ‘natural’ appetite suppressant drink that mimics drugs like Ozempic - New York Post,Nestle launches a ‘natural’ appetite suppressant drink that mimics drugs like Ozempic  New York Post,Nestle launches a ‘natural’ appetite suppressant drink that mimics drugs like Ozempic  New York Post,https://news.google.com/rss/articles/CBMivgFBVV95cUxPTnIyVnFhUkxQWmc0MTlvSmJtalJKcmxWRUEzLUdOSnZ1dWFJWERmcUx2UkpPbUEwNjA4aGlOZjRodUJiMnFGS3NHQ090YUVjdUtyU0t5aE5JTjE5cFlnRS1WMVZ5MFhRU1RkaHFsZi1MRFdwMklNRXlRQVRMamRvRC1jMUVFekotT3o2QUo0SFh0WjBQc1U2eGZEZnBHR2VIcTNWZ2V5RFFqbVk1STJnQkk0cEs3NEtwTDZNZF9B?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:22:09.597955,"""Nestle"" ""Ozempic""",Nestle,Ozempic,2026-04-09 16:22:09.597955
Nestle creates new line of frozen food for users of drugs like Ozempic - Scripps News,Nestle creates new line of frozen food for users of drugs like Ozempic  Scripps News,Nestle creates new line of frozen food for users of drugs like Ozempic  Scripps News,https://news.google.com/rss/articles/CBMivAFBVV95cUxPbEpLeVNpTDM3LVM4TmJzaXdkdUtjbUh1NklGcjVYTVBMRUJMdnE2amFCaUNpSDZ4dmkxNk05eDRvZzJoZm1MT1JaUi1UWlpQZXl1S1ZfaW5icVRxOXJ0bEVqaTh0aTJxNWVURi1Fa2RTckl4ZDVYTkhXSzhWWU5XYm5MQXgwQlNPVjRqaktRTWh3ZXV3bFY0UHQwbTRzTHplSDNkY0pzMXhRRHpnZlJyUXFmc0dGdENLNE9YTw?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:22:09.597965,"""Nestle"" ""Ozempic""",Nestle,Ozempic,2026-04-09 16:22:09.597965
"Nestle and Other Food Makers Cater to Wegovy, Ozempic Users - Barron's","Nestle and Other Food Makers Cater to Wegovy, Ozempic Users  Barron's","Nestle and Other Food Makers Cater to Wegovy, Ozempic Users  Barron's",https://news.google.com/rss/articles/CBMiiAFBVV95cUxOTnZtNzJvN2FGWnFqc2xJWGdOT0ZUUjlXSW1fdWFqb09ZbGxILWRWUVhZSFRSSkhySzBHLWdpZ2FlM1c1MVB4dkVnRHlVRmZ2N3ZjS3dCbWw0MDhFWXpPRlo0eEcxMjRsZlJEdFhYSTkxalJvZWgyeURvR09ZWHBvczVqUGtlRThT?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:22:09.597968,"""Nestle"" ""Ozempic""",Nestle,Ozempic,2026-04-09 16:22:09.597968
"Nutritional needs are 'shifting' amid rise of weight loss drugs, says Nestle CEO - CNBC","Nutritional needs are 'shifting' amid rise of weight loss drugs, says Nestle CEO  CNBC","Nutritional needs are 'shifting' amid rise of weight loss drugs, says Nestle CEO  CNBC",https://news.google.com/rss/articles/CBMipAFBVV95cUxOUllSS2paMjhqLUdWYkRSRjNmaWNBR2d5VTdVd29CU2RDREhNdGdBa1lzdklhUXNsSkp3Y3Q3cWRDd0VvTWdxekV1ZW0xR18wNVRPeUlGaHhwU1FUMGRqVlY5MU9yZDJYWWQxRXpQSWgtZUpZVm91ZlQ5NmRuS0o1Y3dxY1ZpMHZneWtRUDFfWU5hRnNuMVdTZ2VENWRlaDVEakZvS9IBqgFBVV95cUxNRzh2N3J5YXFWVTd2dmVZaC0tOEE0S1hyQ18xcldWanZ3UC1UMnJRY0dXTlktNi1qNE4tWDNIS21VcF9sMFBWNl9qMk9wQlJobk82NnZ4QXVTbjd2ZXExbTd3VWVpNjhLajJ4dXhfUVROLURxV1dPakN4bzdraEpTZ1g4UzZHMFEwanFjdS1KVmdGSnhDQ0xZM0tIUlZ3ZElwUXdyeTEzdlc1QQ?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:22:09.597974,"""Nestle"" ""Ozempic""",Nestle,Ozempic,2026-04-09 16:22:09.597975
