title,description,full_text,url,source_name,source_url,image_url,published_date,search_query,firm_name,keyword_used,collection_date
PepsiCo CEO: GLP-1 drugs are 'not impacting us' - Yahoo Finance,PepsiCo CEO: GLP-1 drugs are 'not impacting us'  Yahoo Finance,PepsiCo CEO: GLP-1 drugs are 'not impacting us'  Yahoo Finance,https://news.google.com/rss/articles/CBMilAFBVV95cUxQUWhuV3dSd2pZcG9CSlcxenZfM0dfbEpXSm1kUi1YMVNlWHdJZHl0b0phYW9GZzUxd2J5Q18yc2c2Q1VtZWtpNGR0ODVTMFE3eUg5WmVNc3VVM3hVRWkycE1obm5pMmR3eWtnRUlFV0F2SXhDWUsyMXZ2RzFVX0tWbG1kZEROeFdLOExlbXNfWGZ6VmxB?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:20:58.664974,"""PepsiCo"" ""Ozempic""",PepsiCo,Ozempic,2026-04-09 16:20:58.664974
"PepsiCo monitoring impact of weight loss drugs, but says early impact on sales is ‘negligible’ - Food Dive","PepsiCo monitoring impact of weight loss drugs, but says early impact on sales is ‘negligible’  Food Dive","PepsiCo monitoring impact of weight loss drugs, but says early impact on sales is ‘negligible’  Food Dive",https://news.google.com/rss/articles/CBMipAFBVV95cUxQOFJPdjhTb3AyYV83XzVIckxHUFdmckE4THpUTWtrVWhCdmoxaG0wbUNabTVRSGV4T2NLZXVYMV9iODlOVDZXaUV6MUwtV3JDbkg0c1dGTUNORUZjbnYwbVlFVG9qYWNSU3d2OWk4a0VTV0NQWlBQUVVnYy1OS3BOdlVndXdfTG9mamlkQ2daUC1Wa0tleGlYYUlJeGlIcDNmTHBOSA?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:20:58.664979,"""PepsiCo"" ""Ozempic""",PepsiCo,Ozempic,2026-04-09 16:20:58.664979
Ozempic and Wegovy aren’t affecting PepsiCo’s business much — but this growing trend is - MarketWatch,Ozempic and Wegovy aren’t affecting PepsiCo’s business much — but this growing trend is  MarketWatch,Ozempic and Wegovy aren’t affecting PepsiCo’s business much — but this growing trend is  MarketWatch,https://news.google.com/rss/articles/CBMixAFBVV95cUxOLUZ5bnY4b2xiREphUW96MVZzQjE4Q1RoZjdaOUZDTmJjZ0ZkNlVWYnE4UzVJVndvLVl1bkh6anllUGc5el9EVmhUc0NfaFJqNTIxMXdiZjFQeDNNZHBFbkFQSTd6d1lpeWppUHdTWE5XNVloLWhBMi16eUlCZEVQZ3BiLWpvbnd5b2pfbXF2Q0c1ei05QW9sWmNDU0xNSHRWaERrdVJIa0ZoOEM0MXF6WU9xR3NBWldZNklvWG5kOTQ3OTdN?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:20:58.664981,"""PepsiCo"" ""Ozempic""",PepsiCo,Ozempic,2026-04-09 16:20:58.664981
"Weight-Loss Medications Impact Coca-Cola, PepsiCo and Food Stocks - Mexico Business News","Weight-Loss Medications Impact Coca-Cola, PepsiCo and Food Stocks  Mexico Business News","Weight-Loss Medications Impact Coca-Cola, PepsiCo and Food Stocks  Mexico Business News",https://news.google.com/rss/articles/CBMiqwFBVV95cUxNdzR6cy1LTnBwNG1MY1NsR1dyZW01VjEyX1hqb0xmamNoTXZJSjM0UmVMMUx1a0d3bUpSXzYxOUdMQnpOQmVlbklzdTdJdXpJSlk4bTF6Sm10UTV4Sy1sMnlXYVpwS2xZVmFaaEVJeGxaQy11SEtielFLbFJhTkJuZG13akx6V3Z0aVdrWGFmWHp5MGZZV2NsRUdCdW9SVWRaaW1RaGpWcUFOems?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:20:58.664991,"""PepsiCo"" ""Ozempic""",PepsiCo,Ozempic,2026-04-09 16:20:58.664991
PepsiCo CEO was grilled about GLP-1s by a 13-year-old on his Q1 conference call - Yahoo Finance,PepsiCo CEO was grilled about GLP-1s by a 13-year-old on his Q1 conference call  Yahoo Finance,PepsiCo CEO was grilled about GLP-1s by a 13-year-old on his Q1 conference call  Yahoo Finance,https://news.google.com/rss/articles/CBMifEFVX3lxTE5pUk0wNG41ZlpxTXdYTDE5VTU2eEo2ZTdLWWRDc3hkYV9JaGd6R2ZEY2FobjdqaERpVHFma3FoVzIxZ2NnZFlWeDF2V1hXM2NtSkpZU3NMVDYwZ2ZYOXVZeDJrZnhLRTRIRnAwNmNzYVJHTEY0NS0wd2FFRWg?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:20:58.665000,"""PepsiCo"" ""Ozempic""",PepsiCo,Ozempic,2026-04-09 16:20:58.665000
Coca-Cola and PepsiCo's stocks fall after Walmart says weight-loss drugs have customers cutting back on calories - MarketWatch,Coca-Cola and PepsiCo's stocks fall after Walmart says weight-loss drugs have customers cutting back on calories  MarketWatch,Coca-Cola and PepsiCo's stocks fall after Walmart says weight-loss drugs have customers cutting back on calories  MarketWatch,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPN0dCd01NTDdXM01jSWdrVUlWUXNKNHBHODZLdWJYemJRU1VzZjR6Z1Z2c01uUmRpWjZwYUgybzdiSl9RODZmUGhlVHZGc2VpQThfSkg0R0VvaHRReG9SRUI5Vjl2UG94T0dJT3dSbzRDU01tQkxCYWNzTlRlLUsxaC1jR1lUM1VYeFpJUmdTTUxnX1YxQXo2VXkxYU5NeDF3QS11eEcxcFFBN2p5TS1MSmlxR1dmajRuWlR3MGFNRWNCdm9iY1dPUXZaYTV3UElDOEJkbXBDWW1ta2dRUzNuZWFoalp4c0J3X0E?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:20:58.665002,"""PepsiCo"" ""Ozempic""",PepsiCo,Ozempic,2026-04-09 16:20:58.665002
"PepsiCo raises 2023 full-year earnings outlook on Q3 performance, Gatorade loses market share to PRIME - FoodNavigator-USA.com","PepsiCo raises 2023 full-year earnings outlook on Q3 performance, Gatorade loses market share to PRIME  FoodNavigator-USA.com","PepsiCo raises 2023 full-year earnings outlook on Q3 performance, Gatorade loses market share to PRIME  FoodNavigator-USA.com",https://news.google.com/rss/articles/CBMi6wFBVV95cUxObWM0eXF5QUtiVC14V0dJNDdkaGpMV0t1YWVmdzlNR0pHbkNSQm5OeGdweTY5TjdydER0RS1ZV1Foc2szaFE3Y1NldmJUMmROVWl4NzI5TlQ5MGFDRU5SVzg0LUVjQ2U3Mkk1WWVEN2xRNHhBVklXYmFDVUxkOEYzOVk0Z005SW5sR1NhZGZsUjlIblFuV2xvQzFiN3ZMSXNuZW1wUndyM3hkZFdJbWRkNkdrZU13SW9pakI4b3psd1VoMzIyMmU3Rk9aYWMwRzlBaEstNml3dlBZbnpaMURYNUFwdm5jMXNWT3JZ?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:20:58.665018,"""PepsiCo"" ""Ozempic""",PepsiCo,Ozempic,2026-04-09 16:20:58.665019
PepsiCo says appetite-suppressing drugs haven’t hit sales - The Irish Independent,PepsiCo says appetite-suppressing drugs haven’t hit sales  The Irish Independent,PepsiCo says appetite-suppressing drugs haven’t hit sales  The Irish Independent,https://news.google.com/rss/articles/CBMitgFBVV95cUxQZGt2dkpZSGRMSUVOZGJTd1ZKa0lPLXVHVjNyMmJBS0gyUlZmaFY1Sl83eUhoWV9OalJWTXByLUs4VE5iWktfd0hiSFg1SGh3cWJmRmdMb1pBQ0tCYkJ4MWJJT1VOTmxER1pNU1p5NTR1OGxTZTV5TERwT1RBc3RhVzg0N2QySDNvNGpNRmJwTVlob3FWWDBXc0pJbUt0ZDNySzhSSmZ4TEtGY0cwc05SbFZwb21zdw?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:20:58.665022,"""PepsiCo"" ""Ozempic""",PepsiCo,Ozempic,2026-04-09 16:20:58.665022
Is PepsiCo Stock A Good Pick Amid Rising Sugar Prices And GLP-1 Drugs (NASDAQ:PEP) - Seeking Alpha,Is PepsiCo Stock A Good Pick Amid Rising Sugar Prices And GLP-1 Drugs (NASDAQ:PEP)  Seeking Alpha,Is PepsiCo Stock A Good Pick Amid Rising Sugar Prices And GLP-1 Drugs (NASDAQ:PEP)  Seeking Alpha,https://news.google.com/rss/articles/CBMinAFBVV95cUxOT0N5elFyOW9JcnEtRUk1QV91ZGZDc0F5V2d4ZGpqSHZqYUFQdkdkYmtYeFJhLURlalJXRVZOYlZpUmNFdDZ0UUtoX1JPb3hzQUNFVDFselRrcExxdjJCN2NZWnZhTWx2QUE5RWtreFUwVkx1TEw5V1pSTmZOTjV0UjI2cnRZZU1udndNMER0Y25fX01FaHlwZ19JclY?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:21:07.956524,"""PepsiCo"" ""Mounjaro""",PepsiCo,Mounjaro,2026-04-09 16:21:07.956524
PepsiCo CEO shares his approach to addressing the challenges posed by weight-loss medications and making products more affordable for consumers - Bitget,PepsiCo CEO shares his approach to addressing the challenges posed by weight-loss medications and making products more affordable for consumers  Bitget,PepsiCo CEO shares his approach to addressing the challenges posed by weight-loss medications and making products more affordable for consumers  Bitget,https://news.google.com/rss/articles/CBMiXkFVX3lxTE5rb2lQNlpGbkhOT0l4YTdTSHU5ZWJVNDFsNVZ3N3A1YTB5bm1GMmR5SWNvMzM5a2dpWDZUZmpGc2l2X1EtMkhvQW5FYnlMTGV3NnhxMWNibHN1YjNyT3fSAWNBVV95cUxNX1RveVhCaGFnaUtkcW1NTUFDbG55WlMwbTlESHk3VU9lYmo2MGtlM0g0RUxYWXNmUG1zWnloc3F6YnduMElvaE01UUN3S0s3MF9laVBJb2dzOElndWpZTmJmaFE?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:21:20.718824,"""PepsiCo"" ""weight loss drug""",PepsiCo,weight loss drug,2026-04-09 16:21:20.718825
