title,description,full_text,url,source_name,source_url,image_url,published_date,search_query,firm_name,keyword_used,collection_date
The Wonderful Wizard of Ozempic: Hollywood’s emaciation epidemic - dailycampus.com,The Wonderful Wizard of Ozempic: Hollywood’s emaciation epidemic  dailycampus.com,The Wonderful Wizard of Ozempic: Hollywood’s emaciation epidemic  dailycampus.com,https://news.google.com/rss/articles/CBMinwFBVV95cUxQRXBpNkRkVXQtU2dPSVlPU0Y0ZkVpMnczV2pfRFhVbFQ3VEJMbUtYLS1kUHYxYVJaNUM0WGpTSUg3M3JPaTZ3d1QyQzBGZnhuUjJ6VTZKelhibkFaZndVVEZ0UUFSTmZTNW52QUpVWjg0SmdaU3ZRYngzQm1WUlpYdjhwUHJqN0RCYkJndjN2VmpxN1RDQlJqa2E5ci1yY0E?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:18:38.493309,"""Wonderful"" ""Ozempic""",Wonderful,Ozempic,2026-04-09 16:18:38.493309
Wonderful or worrisome? What to know about new weight loss drugs - Denver Gazette,Wonderful or worrisome? What to know about new weight loss drugs  Denver Gazette,Wonderful or worrisome? What to know about new weight loss drugs  Denver Gazette,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQWTF2blVZdDk3c29CazNqazhPZlFZemphMndaQ2sxd0gtVnZBTWdQUVlTNUlzcVNtNkc4M2l1ZUpqS2VxQl9KSE80TGxkYVdRQkRjR1F1cEdMM2FvMFdkN05kNlRYRVBWTzNYd0dhSmgxZlZPQlZxb2NyYVZoVm9RM21FVHpVOU5PYmJBWUtkWWFqM0s4ZThFMnVKZHN3Rk1lcHd0SXVheE0?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:18:38.493346,"""Wonderful"" ""Ozempic""",Wonderful,Ozempic,2026-04-09 16:18:38.493347
My Weight Loss Injections Are Having a Wonderful Side Effect. My Husband Wants Me to Quit Them. - Slate,My Weight Loss Injections Are Having a Wonderful Side Effect. My Husband Wants Me to Quit Them.  Slate,My Weight Loss Injections Are Having a Wonderful Side Effect. My Husband Wants Me to Quit Them.  Slate,https://news.google.com/rss/articles/CBMihwFBVV95cUxQLVJjSXc2NmdqWC1RazFoRFlzdHNLcmVvT09yd1I5OG5Ma2xOb0E0YVU5U0ZCSkdWaVZkaHE2b194aWQxZGJkNnJFX2p4VWlscU9uSWpUNW1yV3JuSnpVVmMzdWhyNHpfUHRNcmFhZU54eWlNd0Q4SXVEa0RKcVJzSEVucTF3Tnc?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:18:38.493356,"""Wonderful"" ""Ozempic""",Wonderful,Ozempic,2026-04-09 16:18:38.493357
Whoopi Goldberg Says ‘Wonderful Shot’ Mounjaro Helped Her Lose Weight of ‘Almost 2 People’ - Us Weekly,Whoopi Goldberg Says ‘Wonderful Shot’ Mounjaro Helped Her Lose Weight of ‘Almost 2 People’  Us Weekly,Whoopi Goldberg Says ‘Wonderful Shot’ Mounjaro Helped Her Lose Weight of ‘Almost 2 People’  Us Weekly,https://news.google.com/rss/articles/CBMisAFBVV95cUxOMWktY0pYN2o0T21rWDBqVlZWeE9xN0FDblBGVUhLb2E1NWFpQl9ydDN4VlNGYURNN1drTmhBUjl6UU1zSGhBRmdKbUdCbEM5R1JfZDFQRFZnOUt3S183UmZvUjRvT09wcnNfZXdKT2QtZ29LOWYwTUNlVGtiZmJtZHFfUmxoZVNHeURuQ0xQLXdYZ3o0cU13WHdlMzBDXzVvaE82RVhUeWFTZWFjTGxxcA?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:18:38.493489,"""Wonderful"" ""Ozempic""",Wonderful,Ozempic,2026-04-09 16:18:38.493490
Whoopi Goldberg Says ‘Wonderful Shot’ Mounjaro Helped Her Lose Weight of ‘Almost 2 People’ - Yahoo,Whoopi Goldberg Says ‘Wonderful Shot’ Mounjaro Helped Her Lose Weight of ‘Almost 2 People’  Yahoo,Whoopi Goldberg Says ‘Wonderful Shot’ Mounjaro Helped Her Lose Weight of ‘Almost 2 People’  Yahoo,https://news.google.com/rss/articles/CBMijwFBVV95cUxNMklqZzAzTXV0eHE2d0dFVDFWUUZpUS05MVVqS2hfWkhJUlA1TzkxUFVNa2NoSE81QllrTnpBSTlySzc3aEhLNFhyQUphT1VRdzFmLTNidlV3QmlfRXFuUzdYU1BBWkZLU196QWMzcUJWS0RwY0F0QU9IWWtybUMzNGRsVkk5QVo5ODZJdXhjQQ?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:18:50.132445,"""Wonderful"" ""Mounjaro""",Wonderful,Mounjaro,2026-04-09 16:18:50.132447
1000-Lb. Sisters’ Tammy Slaton Says Weight Loss Surgery Has Been 'Wonderful' for Her Hair Growth: 'I'm Proud' - People.com,1000-Lb. Sisters’ Tammy Slaton Says Weight Loss Surgery Has Been 'Wonderful' for Her Hair Growth: 'I'm Proud'  People.com,1000-Lb. Sisters’ Tammy Slaton Says Weight Loss Surgery Has Been 'Wonderful' for Her Hair Growth: 'I'm Proud'  People.com,https://news.google.com/rss/articles/CBMipgFBVV95cUxQWWlpRGh3bXJkLTRGU2tNOGZFSWI1dW10ZWRyMHIxVXZkSWhEOFZVZ1NfREtvNzduaHQzMDhjeHRENklCdmFXSzBzRmc1MUF3UVh4THpXOGpGdmRXTEM3R244NVFyM1pBc19nZXpQLWhkYUJ6WE4yekFBTFZ5VkVNNHpJc1c3MDhRRHRQQ0JLT0Z0b3BFR0dwYmQ3T1VuSUhoay1HTFp3?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:19:36.274840,"""Wonderful"" ""weight loss""",Wonderful,weight loss,2026-04-09 16:19:36.274840
Weight loss to gut health: 8 wonderful benefits of eating mangoes in summer | Health - Hindustan Times,Weight loss to gut health: 8 wonderful benefits of eating mangoes in summer | Health  Hindustan Times,Weight loss to gut health: 8 wonderful benefits of eating mangoes in summer | Health  Hindustan Times,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQcmtJZ0h0bXVHaU50ckdIMjBUa2FEVjR0LVczQ0U0WkJ1eTJlRFVNQUlyN0ZaQWhrWFdBRnJVa0s2QXR6SDgxTDZST0EwRFBUeHN1OU1meVhDWktmT3dLNTVhZFhqV2w2OGZYdHFOSGVuYmxUMElLOV9HdXdOaUJvOUFiSXRBLWYxcHpCbXRvV1VtYi1wdUZXaUVFOGdpOVlJX012RzR5QTRIcHlUcjJaNG1yenRfcmM2WXpMbmxFbVRaTk1idUVTa29wSGRFZHJNR1RJZDVDamd5blnSAeABQVVfeXFMTW1RUzBCV3NTRGNJS2xiT0lSVnp3bzJHTGlwZnczRGRaUWgtTWxFQUNIVjRyRTRwb0ktUkNIbHJHSWJ0QkxtM0RqUUhGUjlWQ1JseUZ3LWVxNF81dFJxNTZPaHFqVEdHdjhhOGpRZnFiSDBVaW9OYXh5M0ZWemJ4MmxFWlBYZkVyX2ViX0FNVUZjbGFqNHlKWnBkRTNoUF9oaG5BZVowS09zVHhzVGNTa1M4TEVhM2duVHpsN1ptRGUzWHVmWkIyRFI2T21zaml2N0NZVTl5YVlZMm1pYWh5bzQ?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:19:36.274853,"""Wonderful"" ""weight loss""",Wonderful,weight loss,2026-04-09 16:19:36.274853
Longevity to weight loss; 6 wonderful health benefits of regular exercise | Health - Hindustan Times,Longevity to weight loss; 6 wonderful health benefits of regular exercise | Health  Hindustan Times,Longevity to weight loss; 6 wonderful health benefits of regular exercise | Health  Hindustan Times,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNcXd6Tm41akhIVUo1d3lMbkZOd3dES2EzOHdvcHllRHc1MENUelRtNXhRNVZFcms5amN2YzkteVBSMTk0YjZqSFJuLW5TQzRKdFJXZDYxeGJyNmFzMy1OODRUc29HdXIxcDVBWUplQ3VmczFIT214TkdaTXRlZ2t3S2ZENzZkNXZPMU5GeU9qX3RlVHBJNldkQ19aanlrWW16TDR4Z3UtM0pMYVo3RHhjd1B2OVl0eS00Z3IwSC1Nbkp2U1lId2dQc0FRTnFRRWZnZHFmNkpPaE3SAd4BQVVfeXFMTkRLMHlBYmZSUEtYelhOUmZEUHFReW14ZDI1Ylk4ZmF0cWhXendjeWxqWjZpN05hY1MyRDRlQ1V5SmdsaWs0UEMtUkNMNDFKcGRsZ29mVHZfQUVDX3ZBMHlUeXVuVm1BTm4wbFBvZTlXZGh1NnN1VmsyUTZ3YlNPQko2U0hHd2tFOEJTOTlfeFJSd3Nhc0Q1QXlIRm90TkMwSXRQTzRfWUJyRDFGMWZ0X0JKU2NhdFZ4eDRua1NOOHlKbUlfRnYxNW9WcU1Xb0RqaHdBM3JDLUg5VS1FMUF3?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:19:36.274875,"""Wonderful"" ""weight loss""",Wonderful,weight loss,2026-04-09 16:19:36.274875
Weight loss: Woman drops 4 stone with 'wonderful' diet plan - 'changed my life' - Daily Express,Weight loss: Woman drops 4 stone with 'wonderful' diet plan - 'changed my life'  Daily Express,Weight loss: Woman drops 4 stone with 'wonderful' diet plan - 'changed my life'  Daily Express,https://news.google.com/rss/articles/CBMisAFBVV95cUxOT19hb1oyVlJJbF83M1lINS04Z1M5SGJLZTlEQ085WDY3THFhVmtMTkpHZnY1SWlZYURoTkFYSk9uT1R6TkRMYm9DZzdwWUMyMXBmVTFjd0d4UkVCTzRvWHlRU2xldGxMSGtUdmM5U2R4Y25SaVcwMlMwV2xVZS1HWTV5TVVrellITzBZbHpzOW4tUDFTeTNHUzl5bjRmcnFNVmZhLUNsZEQ1UFBwcF9uUdIBtgFBVV95cUxOZWh3V0wyX1UtODlWNmxzbXJ0MUJ1bFpDM3R4dlRBTmI5UVlaS05MbW4yZE4tU0sxSWE0YnVxWXpmS0xUMlFSVU8zUXR2Q0VhM0JZRHM2djFZMEJxcll2VFF1aTl3YmdEZWo1Tjd0eWVIU2xHcW5VN1JWeGJvN0g5Y2ZnU2ktNkhMN1NRTDVkRWpYN3dGeThYZ2FNNVFISFBrVUwwWjRfSlNYTGF0cm5SV0pxNTgtUQ?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:19:36.274913,"""Wonderful"" ""weight loss""",Wonderful,weight loss,2026-04-09 16:19:36.274913
"In POM Wonderful Trial, Court Rules One Human Clinical Trial Sufficient - SupplySide Supplement Journal","In POM Wonderful Trial, Court Rules One Human Clinical Trial Sufficient  SupplySide Supplement Journal","In POM Wonderful Trial, Court Rules One Human Clinical Trial Sufficient  SupplySide Supplement Journal",https://news.google.com/rss/articles/CBMirwFBVV95cUxQcGh3QUhSS2J5c0ZxNTJsSzNzOEVXc2dIU24wbm1ISEVGcFM3TmlVMC1WRnRKbDhLX2RheTA5dlVfT0JDOXJldUFVb2E1UHk4TmVITjg3cHRvNC1Yd3VHRVJtZVZOQzQ3SWpLUWJBYmVYWXloSkpnTzFFZE5fXzBaMFU3QUdPWEhNT3lmMjdoUXMzVWhUWWE0VHpsZElVbzBZQjF2YmJIeEZJeF9odDhB?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:19:41.987780,"""Wonderful"" ""GLP-1""",Wonderful,GLP-1,2026-04-09 16:19:41.987780
